id,description,en,en_CA,ru,es,fr
healthLatestReading,"Under the big number in the health detail dialog. The date on its own was cryptic — a bare ""08-13"" beside a heart rate reads as part of the measurement rather than as when it was taken. Says what the date is, and formats it with a month name so it cannot be mistaken for a number",Latest reading · {when},Latest reading · {when},Последнее измерение · {when},Última lectura · {when},Dernière mesure · {when}
healthDelete,Settings row that deletes Heart's local copy of health data,Delete health data,Delete health data,Удалить данные здоровья,Eliminar datos de salud,Supprimer les données de santé
healthDeleteBody,Confirmation body. Reassures that the operating system health store is untouched and the data comes back on the next sync,"This clears what Heart has read onto this device. Nothing in your phone's health store changes, and Heart will read it again the next time it syncs.","This clears what Heart has read onto this device. Nothing in your phone's health store changes, and Heart will read it again the next time it syncs.","Это очистит то, что Heart прочитал на это устройство. В хранилище здоровья на телефоне ничего не изменится, и Heart прочитает данные снова при следующей синхронизации.","Esto borra lo que Heart ha leído en este dispositivo. Nada cambia en el almacén de salud de tu teléfono, y Heart volverá a leerlo la próxima vez que sincronice.","Cela efface ce que Heart a lu sur cet appareil. Rien ne change dans les données de santé de votre téléphone, et Heart les relira à la prochaine synchronisation."
healthDeleteTitle,Confirmation title. Must say it is Heart's copy — a title reading like 'erase my heart rate history' would suggest years of data are about to be lost,Delete Heart's copy of your health data?,Delete Heart's copy of your health data?,Удалить копию данных здоровья в Heart?,¿Eliminar la copia de Heart de tus datos de salud?,Supprimer la copie que Heart garde de vos données de santé ?
healthHeartRateVariability,Name of a health metric,Heart rate variability,Heart rate variability,Вариабельность пульса,Variabilidad de la frecuencia cardiaca,Variabilité de la fréquence cardiaque
healthHoursShort,"Single-letter abbreviation for hours, as in '7h 15m'. No space before it",h,h,ч,h,h
healthInviteAction,Button that opens the operating system's health permission sheet,Show my health data,Show my health data,Показать мои данные,Mostrar mis datos de salud,Afficher mes données de santé
healthInviteBody,"Body of the card offering to read health data. The last clause is a genuine selling point, not fine print — keep it plain and avoid words like private or secure","Heart can show your resting heart rate, sleep, steps and body mass next to your workouts. It reads them from your phone's health store, and keeps them on this device.","Heart can show your resting heart rate, sleep, steps and body mass next to your workouts. It reads them from your phone's health store, and keeps them on this device.","Heart может показывать пульс в покое, сон, шаги и вес рядом с тренировками. Он читает их из хранилища здоровья на телефоне и хранит на этом устройстве.","Heart puede mostrar tu frecuencia cardiaca en reposo, sueño, pasos y masa corporal junto a tus entrenamientos. Los lee del almacén de salud de tu teléfono y los guarda en este dispositivo.","Heart peut afficher votre fréquence cardiaque au repos, votre sommeil, vos pas et votre poids à côté de vos séances. Il les lit depuis les données de santé de votre téléphone et les garde sur cet appareil."
healthInviteDismiss,Tooltip on the button that dismisses the health invitation card,Not now,Not now,Не сейчас,Ahora no,Pas maintenant
healthInviteTitle,Title of the card offering to read health data from the phone,Health data,Health data,Данные здоровья,Datos de salud,Données de santé
healthKilocalories,"Unit abbreviation, kilocalories. Shown next to active energy",kcal,kcal,ккал,kcal,kcal
healthMilliseconds,"Unit abbreviation, milliseconds. Shown next to heart rate variability",ms,ms,мс,ms,ms
healthMinutesShort,"Single-letter abbreviation for minutes, as in '7h 15m'. No space before it",m,m,м,m,min
healthOffInHealthApp,"iOS only. Body of the dialog behind the info button on the greyed-out Health header, shown once the user has been asked and nothing is being read. The dialog's button opens the Health app; this is what to do on arrival, since Apple gives no way to link straight to Heart's row. An instruction, not an explanation — do not add why the permission is there rather than in Heart. Match the wording Apple's Health app uses in this locale","In the Health app, tap your profile picture, then Apps, and let Heart read.","In the Health app, tap your profile picture, then Apps, and let Heart read.","В приложении «Здоровье» нажмите фото профиля, затем «Приложения» и разрешите Heart читать данные.","En la app Salud, toca tu foto de perfil, luego Apps, y permite que Heart lea tus datos.","Dans l’app Santé, touchez votre photo de profil, puis Apps, et autorisez la lecture pour Heart."
healthOffInSettings,"Non-iOS fallback for healthOffInHealthApp. An instruction, never an explanation, and neutral about why there is nothing to show. The second sentence is Android-specific and load-bearing: Health Connect keeps past-data access as a separate switch away from the main permission list, and without it every read is capped at 30 days however far back the app asks. Say 'past data' — that is the platform's own wording for it","Let Heart read your health data in your device’s health settings. Allow past data too, or charts stop at the last 30 days.","Let Heart read your health data in your device’s health settings. Allow past data too, or charts stop at the last 30 days.","Разрешите Heart читать данные о здоровье в настройках здоровья на устройстве. Разрешите и прошлые данные, иначе графики остановятся на последних 30 днях.","Permite que Heart lea tus datos de salud en los ajustes de salud de tu dispositivo. Permite también el acceso a datos anteriores, o los gráficos se quedarán en los últimos 30 días.","Autorisez Heart à lire vos données de santé dans les réglages santé de votre appareil. Autorisez aussi les données antérieures, sinon les graphiques s’arrêtent aux 30 derniers jours."
healthOffTitle,"Title of that dialog, and the tooltip on the button that opens it. States the fact and nothing else — the app cannot tell whether the user declined or simply has no readings, so it must not sound like a fault on either side",Heart isn’t reading any health data,Heart isn’t reading any health data,Heart не читает данные о здоровье,Heart no está leyendo ningún dato de salud,Heart ne lit aucune donnée de santé
healthOnThisDevice,Subtitle under the Health header. States where health data is kept. Must not be softened into 'private' or 'secure' — workouts do sync to a server and only health data does not,On this device,On this device,На этом устройстве,En este dispositivo,Sur cet appareil
healthOpenHealthApp,"iOS only. Button that opens Apple's Health app, which is where read permissions live — the app's own page in iOS Settings has no health toggle at all. 'Health' here is the name of Apple's app and should keep whatever name it has in this locale",Open the Health app,Open the Health app,Открыть приложение «Здоровье»,Abrir la app Salud,Ouvrir l’app Santé
healthOpenHealthAppHint,"iOS only. Sits under the row that opens the Health app and says what to do once there, since Apple gives no way to link straight to Heart's row. An instruction only — it is not the place to explain why the permission lives outside Heart. Match the wording Apple's Health app uses in this locale","Tap your profile picture, then Apps","Tap your profile picture, then Apps","Нажмите фото профиля, затем «Приложения»","Toca tu foto de perfil, luego Apps","Touchez votre photo de profil, puis Apps"
healthOpenSettingsHint,"Non-iOS. Sits under the row that opens the device's health settings. Health Connect keeps past-data access apart from the main permission list, so a user who grants everything they can see is still capped at 30 days. An instruction, not an explanation of why. Deliberately echoes Health Connect's own prompt — ""Allow Heart to access past data?"" — so the words the user reads here are the words they then look for; match that prompt's wording in this locale rather than translating literally",Also allow access to past data,Also allow access to past data,Разрешите также доступ к прошлым данным,Permite también el acceso a datos anteriores,Autorisez aussi l’accès aux données antérieures
healthOpenSettings,Button that opens the operating system's settings app. Non-iOS fallback for healthOpenHealthApp,Open settings,Open settings,Открыть настройки,Abrir ajustes,Ouvrir les paramètres
healthRestingHeartRate,Name of a health metric,Resting heart rate,Resting heart rate,Пульс в покое,Frecuencia cardiaca en reposo,Fréquence cardiaque au repos
healthSettingsBody,"Settings section body. Names exactly what Heart reads and restates where it is kept. Say 'on this device', never 'private' or 'secure' — workouts do sync to a server and only health data does not","Heart reads resting heart rate, heart rate variability, sleep, steps, active energy and body mass from your phone's health store. They stay on this device.","Heart reads resting heart rate, heart rate variability, sleep, steps, active energy and body mass from your phone's health store. They stay on this device.","Heart читает пульс в покое, вариабельность пульса, сон, шаги, активные калории и вес из хранилища здоровья на телефоне. Они остаются на этом устройстве.","Heart lee la frecuencia cardiaca en reposo, la variabilidad de la frecuencia cardiaca, el sueño, los pasos, la energía activa y la masa corporal del almacén de salud de tu teléfono. Se quedan en este dispositivo.","Heart lit la fréquence cardiaque au repos, la variabilité de la fréquence cardiaque, le sommeil, les pas, l’énergie active et le poids depuis les données de santé de votre téléphone. Ces données restent sur cet appareil."
healthWriteWorkouts,"Settings row title. Heart writing a finished workout back to the phone's health store, so the user's activity rings credit their lifting",Save workouts to Health,Save workouts to Health,Сохранять тренировки в Здоровье,Guardar entrenamientos en Salud,Enregistrer les séances dans Santé
healthWriteWorkoutsOn,"Settings row subtitle when Heart may write. States the limit as the reassurance: duration and activity type only. Never claim Heart records calories — it deliberately does not, because without a watch there is no measurement, only a guess","Saving how long you train, and nothing else","Saving how long you train, and nothing else",Сохраняется только длительность тренировки,"Se guarda cuánto tiempo entrenas, y nada más","Enregistre la durée de vos entraînements, et rien d’autre"
healthWriteWorkoutsOff,"Settings row subtitle when write access was declined. Neutral — declining is a normal choice, not an error to scold",Off · Heart is not saving your workouts,Off · Heart is not saving your workouts,Выключено · Heart не сохраняет ваши тренировки,Desactivado · Heart no está guardando tus entrenamientos,Désactivé · Heart n’enregistre pas vos séances
healthSleep,Name of a health metric: time asleep,Sleep,Sleep,Сон,Sueño,Sommeil
healthSteps,Name of a health metric,Steps,Steps,Шаги,Pasos,Pas
deleteWorkoutTitle,Workout deletion confirmation dialog,Do you want to delete this workout?,Do you want to delete this workout?,Хотите удалить эту тренировку?,¿Quieres eliminar este entrenamiento?,Voulez-vous supprimer cette séance ?
deleteWorkoutBody,Workout deletion confirmation dialog,This cannot be undone,This cannot be undone,Это действие нельзя отменить,Esto no se puede deshacer,Cette action est irréversible
importData,Settings item and title of the import page,Import workout history,Import workout history,Импорт истории тренировок,Importar historial de entrenamientos,Importer l’historique de séances
importPreviewTitle,"Import page, heading of the preview/consent step",Ready to import,Ready to import,Готово к импорту,Todo listo para importar,Prêt à importer
importPreviewSummary,"Import preview line, what the file holds","{workouts, plural, =1{1 workout} other{{workouts} workouts}} and {sets, plural, =1{1 set} other{{sets} sets}} ready to come over","{workouts, plural, =1{1 workout} other{{workouts} workouts}} and {sets, plural, =1{1 set} other{{sets} sets}} ready to come over","{workouts, plural, one{{workouts} тренировка} few{{workouts} тренировки} many{{workouts} тренировок} other{{workouts} тренировки}} и {sets, plural, one{{sets} подход} few{{sets} подхода} many{{sets} подходов} other{{sets} подхода}} готовы к переезду","{workouts, plural, =1{1 entrenamiento} other{{workouts} entrenamientos}} y {sets, plural, =1{1 serie} other{{sets} series}} listos para importar","{workouts, plural, =1{1 séance} other{{workouts} séances}} et {sets, plural, =1{1 série} other{{sets} séries}} prêtes à être importées"
importPreviewSummaryPartial,Import preview line when part of the file was imported before — only the new workouts are announced,"{count, plural, =1{1 workout is new} other{{count} workouts are new}}","{count, plural, =1{1 workout is new} other{{count} workouts are new}}","{count, plural, one{{count} новая тренировка} few{{count} новые тренировки} many{{count} новых тренировок} other{{count} новые тренировки}}","{count, plural, =1{1 entrenamiento es nuevo} other{{count} entrenamientos son nuevos}}","{count, plural, =1{1 séance est nouvelle} other{{count} séances sont nouvelles}}"
importPreviewNothingNew,Import preview line when every workout in the file was imported before,"Nothing new — {count, plural, =1{the 1 workout in this file is} other{all {count} workouts in this file are}} already here","Nothing new — {count, plural, =1{the 1 workout in this file is} other{all {count} workouts in this file are}} already here","Ничего нового — {count, plural, one{{count} тренировка из этого файла уже здесь} few{все {count} тренировки из этого файла уже здесь} many{все {count} тренировок из этого файла уже здесь} other{все {count} тренировки из этого файла уже здесь}}","Nada nuevo — {count, plural, =1{el entrenamiento de este archivo ya está} other{los {count} entrenamientos de este archivo ya están}} aquí","Rien de nouveau — {count, plural, =1{l’unique séance de ce fichier est} other{les {count} séances de ce fichier sont}} déjà là"
importPreviewMatched,"Import preview line, exercises that resolved against the stock catalog or existing customs","{count, plural, =1{1 exercise already matches the library} other{{count} exercises already match the library}}","{count, plural, =1{1 exercise already matches the library} other{{count} exercises already match the library}}","{count, plural, one{{count} упражнение уже есть в каталоге} few{{count} упражнения уже есть в каталоге} many{{count} упражнений уже есть в каталоге} other{{count} упражнения уже есть в каталоге}}","{count, plural, =1{1 ejercicio ya coincide con la biblioteca} other{{count} ejercicios ya coinciden con la biblioteca}}","{count, plural, =1{1 exercice correspond déjà à la bibliothèque} other{{count} exercices correspondent déjà à la bibliothèque}}"
importPreviewAlreadyHere,"Import preview line, workouts a commit would skip as previously imported","{count, plural, =1{1 workout is already here — it will be skipped} other{{count} workouts are already here — they will be skipped}}","{count, plural, =1{1 workout is already here — it will be skipped} other{{count} workouts are already here — they will be skipped}}","{count, plural, one{{count} тренировка уже здесь — она будет пропущена} few{{count} тренировки уже здесь — они будут пропущены} many{{count} тренировок уже здесь — они будут пропущены} other{{count} тренировки уже здесь — они будут пропущены}}","{count, plural, =1{1 entrenamiento ya está aquí — se omitirá} other{{count} entrenamientos ya están aquí — se omitirán}}","{count, plural, =1{1 séance est déjà là — elle sera ignorée} other{{count} séances sont déjà là — elles seront ignorées}}"
selectAll,"Button over a checkbox list, checks every item",Select all,Select all,Выбрать все,Seleccionar todo,Tout sélectionner
deselectAll,"Button over a checkbox list, unchecks every item",Deselect all,Deselect all,Снять выбор,Deseleccionar todo,Tout désélectionner
importConsentTitle,"Import page, heading of the consent step over unmatched exercises",New exercises found,New exercises found,Найдены новые упражнения,Nuevos ejercicios encontrados,Nouveaux exercices trouvés
importConsentBody,"Import page, explains the consent checkboxes over unmatched exercises","These didn't match anything in the library. Check the ones to bring over as your own custom exercises — anything unchecked stays behind, along with its sets.","These didn't match anything in the library. Check the ones to bring over as your own custom exercises — anything unchecked stays behind, along with its sets.","Они не нашлись в каталоге. Отметьте те, что заберёте как ваши собственные упражнения, — неотмеченные останутся позади вместе со своими подходами.","Estos no coincidieron con nada en la biblioteca. Marca los que quieras traer como tus ejercicios personalizados — lo que quede sin marcar se queda fuera, junto con sus series.","Ceux-ci ne correspondent à rien dans la bibliothèque. Cochez ceux à importer comme vos propres exercices personnalisés — tout ce qui n’est pas coché reste de côté, avec ses séries."
importAction,"Import page, the button that commits the import after the consent step",Import,Import,Импортировать,Importar,Importer
importSetsCount,"Import consent step, how many sets ride on an unmatched exercise","{count, plural, =1{1 set} other{{count} sets}}","{count, plural, =1{1 set} other{{count} sets}}","{count, plural, one{{count} подход} few{{count} подхода} many{{count} подходов} other{{count} подхода}}","{count, plural, =1{1 serie} other{{count} series}}","{count, plural, =1{1 série} other{{count} séries}}"
importSkippedSets,"Import report line, sets not imported because their exercise was declined","{count, plural, =1{1 set stayed behind} other{{count} sets stayed behind}} with the exercises you declined","{count, plural, =1{1 set stayed behind} other{{count} sets stayed behind}} with the exercises you declined","{count, plural, one{{count} подход не переехал} few{{count} подхода не переехали} many{{count} подходов не переехало} other{{count} подхода не переехало}} — вместе с упражнениями, которые вы отклонили","{count, plural, =1{1 serie se quedó fuera} other{{count} series se quedaron fuera}} con los ejercicios que descartaste","{count, plural, =1{1 série est restée de côté} other{{count} séries sont restées de côté}} avec les exercices que vous avez refusés"
yourData,"Settings section header over data import (and, later, export)",Your data,Your data,Ваши данные,Tus datos,Vos données
account,Settings section header over account management,Account,Account,Аккаунт,Cuenta,Compte
app,"Settings section header over notifications, about, and feedback",App,App,Приложение,App,Application
importExplainerStrong,"Import page, explains where the Strong export file comes from","Lifted with Strong before? Bring your history along.

In the Strong app, go to Profile → Settings → Export Strong Data. It emails you a CSV file — save it, then pick it here.","Lifted with Strong before? Bring your history along.

In the Strong app, go to Profile → Settings → Export Strong Data. It emails you a CSV file — save it, then pick it here.","Тренировались в Strong? Забирайте историю с собой.

В приложении Strong откройте Profile → Settings → Export Strong Data. CSV-файл придёт вам на почту — сохраните его, а затем выберите здесь.","¿Entrenabas con Strong? Trae tu historial contigo.

En la app Strong, ve a Perfil → Ajustes → Exportar datos de Strong. Te llegará un archivo CSV por correo — guárdalo y luego elígelo aquí.","Vous souleviez avec Strong ? Emportez votre historique avec vous.

Dans l’app Strong, allez dans Profile → Settings → Export Strong Data. Vous recevrez un fichier CSV par e-mail — enregistrez-le, puis choisissez-le ici."
importSafeToRetry,"Import page, reassurance below the explainer","Everything comes over — workouts, sets, exercises. Importing the same file twice is safe: anything already here is skipped, never duplicated.","Everything comes over — workouts, sets, exercises. Importing the same file twice is safe: anything already here is skipped, never duplicated.","Переедет всё: тренировки, подходы, упражнения. Импортировать один и тот же файл повторно безопасно — всё, что уже есть, будет пропущено, а не задвоено.","Todo se importa — entrenamientos, series, ejercicios. Importar el mismo archivo dos veces es seguro: lo que ya está aquí se omite, nunca se duplica.","Tout est transféré — séances, séries, exercices. Importer deux fois le même fichier est sans risque : ce qui est déjà là est ignoré, jamais dupliqué."
chooseFile,"Import page, the button that opens the file picker",Choose file,Choose file,Выбрать файл,Elegir archivo,Choisir un fichier
csvFiles,File-type label shown in the platform file picker,CSV files,CSV files,CSV-файлы,Archivos CSV,Fichiers CSV
importInFlight,"Import page, progress label while the file is uploading",Importing — hang tight…,Importing — hang tight…,Импортируем — минутку…,Importando — un momento…,Importation en cours — un instant…
importFailedHeadline,"Import page, friendly headline when the server rejects the file",That file didn't work,That file didn't work,Этот файл не подошёл,Ese archivo no funcionó,Ce fichier n’a pas fonctionné
importFailedBody,"Import page, body of the rejected-file error state",It couldn't be read as a Strong export. Pick the CSV file from Strong's export email and try again.,It couldn't be read as a Strong export. Pick the CSV file from Strong's export email and try again.,Не получилось прочитать его как экспорт Strong. Выберите CSV-файл из письма Strong и попробуйте ещё раз.,No se pudo leer como una exportación de Strong. Elige el archivo CSV del correo de exportación de Strong e inténtalo de nuevo.,Impossible de le lire comme un export Strong. Choisissez le fichier CSV de l’e-mail d’export de Strong et réessayez.
importReportTitle,"Import page, heading of the success report",Imported!,Imported!,Готово!,¡Importado!,Importé !
importedWorkouts,"Import report line, how many workouts were created","{count, plural, =0{No new workouts} =1{1 workout imported} other{{count} workouts imported}}","{count, plural, =0{No new workouts} =1{1 workout imported} other{{count} workouts imported}}","{count, plural, =0{Новых тренировок нет} one{{count} тренировка импортирована} few{{count} тренировки импортированы} many{{count} тренировок импортировано} other{{count} тренировки импортировано}}","{count, plural, =0{Ningún entrenamiento nuevo} =1{1 entrenamiento importado} other{{count} entrenamientos importados}}","{count, plural, =0{Aucune nouvelle séance} =1{1 séance importée} other{{count} séances importées}}"
importSkippedWorkouts,"Import report line, workouts skipped as previously imported","{count, plural, =1{1 workout was already here — skipped} other{{count} workouts were already here — skipped}}","{count, plural, =1{1 workout was already here — skipped} other{{count} workouts were already here — skipped}}","{count, plural, one{{count} тренировка уже была здесь — пропущена} few{{count} тренировки уже были здесь — пропущены} many{{count} тренировок уже было здесь — пропущено} other{{count} тренировки уже были здесь — пропущены}}","{count, plural, =1{1 entrenamiento ya estaba aquí — omitido} other{{count} entrenamientos ya estaban aquí — omitidos}}","{count, plural, =1{1 séance était déjà là — ignorée} other{{count} séances étaient déjà là — ignorées}}"
importedSets,"Import report line, total sets created","{count, plural, =1{1 set} other{{count} sets}} in all","{count, plural, =1{1 set} other{{count} sets}} in all","Всего {count, plural, one{{count} подход} few{{count} подхода} many{{count} подходов} other{{count} подхода}}","{count, plural, =1{1 serie} other{{count} series}} en total","{count, plural, =1{1 série} other{{count} séries}} au total"
importSkippedRows,"Import report line, malformed rows the server could not repair","{count, plural, =1{1 row} other{{count} rows}} couldn't be read","{count, plural, =1{1 row} other{{count} rows}} couldn't be read","{count, plural, one{{count} строку не удалось прочитать} few{{count} строки не удалось прочитать} many{{count} строк не удалось прочитать} other{{count} строки не удалось прочитать}}","{count, plural, =1{1 fila no se pudo leer} other{{count} filas no se pudieron leer}}","{count, plural, =1{1 ligne n’a pas pu être lue} other{{count} lignes n’ont pas pu être lues}}"
importNewExercisesHeader,"Import report, heading above the list of exercises created as the user's customs",New custom exercises,New custom exercises,Новые упражнения,Nuevos ejercicios personalizados,Nouveaux exercices personnalisés
importNewExercisesBody,"Import report, explains the list of created custom exercises","These didn't match anything in the library, so they came over as your custom exercises:","These didn't match anything in the library, so they came over as your custom exercises:","Они не нашлись в каталоге, поэтому переехали как ваши собственные упражнения:","Estos no coincidieron con nada en la biblioteca, así que llegaron como tus ejercicios personalizados:","Ceux-ci ne correspondaient à rien dans la bibliothèque, ils ont donc été importés comme vos exercices personnalisés :"
machineTranslatedCopy,Small provenance mark above exercise instructions whose copy for the current language is machine-authored and not yet human-reviewed (Exercise.validated == false),Machine-translated,Machine-translated,Машинный перевод,Traducción automática,Traduction automatique
categoryWeightedBodyWeight,Exercise category (equipment/measurement kind) label,Weighted Body Weight,Weighted Body Weight,Свой вес с отягощением,Peso corporal lastrado,Poids du corps lesté
categoryAssistedBodyWeight,Exercise category (equipment/measurement kind) label,Assisted Body Weight,Assisted Body Weight,Свой вес с поддержкой,Peso corporal asistido,Poids du corps assisté
categoryRepsOnly,Exercise category (equipment/measurement kind) label,Reps Only,Reps Only,Только повторы,Solo repeticiones,Répétitions seules
categoryCardio,Exercise category (equipment/measurement kind) label,Cardio,Cardio,Кардио,Cardio,Cardio
categoryDuration,Exercise category (equipment/measurement kind) label,Duration,Duration,Время,Duración,Durée
categoryMachine,Exercise category (equipment/measurement kind) label,Machine,Machine,Тренажёр,Máquina,Machine
categoryDumbbell,Exercise category (equipment/measurement kind) label,Dumbbell,Dumbbell,Гантели,Mancuernas,Haltères
categoryBarbell,Exercise category (equipment/measurement kind) label,Barbell,Barbell,Штанга,Barra,Barre
targetCore,Exercise target (body part) label,Core,Core,Кор,Core,Core
targetArms,Exercise target (body part) label,Arms,Arms,Руки,Brazos,Bras
targetBack,Exercise target (body part) label,Back,Back,Спина,Espalda,Dos
targetChest,Exercise target (body part) label,Chest,Chest,Грудь,Pecho,Pectoraux
targetLegs,Exercise target (body part) label,Legs,Legs,Ноги,Piernas,Jambes
targetShoulders,Exercise target (body part) label,Shoulders,Shoulders,Плечи,Hombros,Épaules
targetOther,Exercise target (body part) label,Other,Other,Другое,Otro,Autre
targetOlympic,Exercise target (body part) label,Olympic,Olympic,Олимпийские,Olímpico,Olympique
targetFullBody,Exercise target (body part) label,Full Body,Full Body,Всё тело,Cuerpo completo,Corps entier
targetCardio,Exercise target (body part) label,Cardio,Cardio,Кардио,Cardio,Cardio
skillLow,"Skill-demand level, in the movement filter sheet",Low,Low,Низкий,Bajo,Faible
skillModerate,"Skill-demand level, in the movement filter sheet",Moderate,Moderate,Средний,Medio,Modéré
skillHigh,"Skill-demand level, in the movement filter sheet",High,High,Высокий,Alto,Élevé
stabilityFree,"Movement-path stability, in the movement filter sheet",Free,Free,Свободный вес,Peso libre,Charge libre
stabilitySupported,"Movement-path stability, in the movement filter sheet",Supported,Supported,С опорой,Con apoyo,Avec appui
stabilityMachine,"Movement-path stability, in the movement filter sheet",Machine,Machine,Тренажёр,Máquina,Machine
patternCalfRaise,Movement pattern label (filter sheet chip and About-tab chip),Calf Raise,Calf Raise,Подъём на носки,Elevación de talones,Extension des mollets
patternCardioSteady,Movement pattern label (filter sheet chip and About-tab chip),Steady-State Cardio,Steady-State Cardio,Равномерное кардио,Cardio constante,Cardio continu
patternChestDip,Movement pattern label (filter sheet chip and About-tab chip),Chest Dip,Chest Dip,Брусья,Fondos en paralelas,Dips
patternChestFly,Movement pattern label (filter sheet chip and About-tab chip),Chest Fly,Chest Fly,Разводка,Aperturas de pecho,Écartés
patternCoreBracing,Movement pattern label (filter sheet chip and About-tab chip),Core Bracing,Core Bracing,Стабилизация кора,Estabilización del core,Gainage
patternDeadliftFloor,Movement pattern label (filter sheet chip and About-tab chip),Deadlift from Floor,Deadlift from Floor,Становая тяга с пола,Peso muerto desde el suelo,Soulevé de terre au sol
patternDeclinePress,Movement pattern label (filter sheet chip and About-tab chip),Decline Press,Decline Press,Жим на наклонной вниз,Press declinado,Développé décliné
patternElbowExtension,Movement pattern label (filter sheet chip and About-tab chip),Elbow Extension,Elbow Extension,Разгибание локтя,Extensión de codo,Extension du coude
patternElbowFlexion,Movement pattern label (filter sheet chip and About-tab chip),Elbow Flexion,Elbow Flexion,Сгибание локтя,Flexión de codo,Flexion du coude
patternForearm,Movement pattern label (filter sheet chip and About-tab chip),Forearm,Forearm,Предплечья,Antebrazo,Avant-bras
patternFrontRaise,Movement pattern label (filter sheet chip and About-tab chip),Front Raise,Front Raise,Подъём перед собой,Elevación frontal,Élévation frontale
patternFullBodyConditioning,Movement pattern label (filter sheet chip and About-tab chip),Full-Body Conditioning,Full-Body Conditioning,Общая подготовка,Acondicionamiento general,Conditionnement complet
patternGluteIsolation,Movement pattern label (filter sheet chip and About-tab chip),Glute Isolation,Glute Isolation,Изоляция ягодиц,Aislamiento de glúteos,Isolation des fessiers
patternHipAbduction,Movement pattern label (filter sheet chip and About-tab chip),Hip Abduction,Hip Abduction,Отведение бедра,Abducción de cadera,Abduction de hanche
patternHipAdduction,Movement pattern label (filter sheet chip and About-tab chip),Hip Adduction,Hip Adduction,Приведение бедра,Aducción de cadera,Adduction de hanche
patternHipExtensionBridge,Movement pattern label (filter sheet chip and About-tab chip),Hip Bridge,Hip Bridge,Ягодичный мост,Puente de glúteos,Pont fessier
patternHipFlexionHanging,Movement pattern label (filter sheet chip and About-tab chip),Hanging Leg Raise,Hanging Leg Raise,Подъём ног в висе,Elevación de piernas colgado,Relevé de jambes suspendu
patternHipHingeStifflegged,Movement pattern label (filter sheet chip and About-tab chip),Stiff-Legged Hinge,Stiff-Legged Hinge,Наклон на прямых ногах,Peso muerto piernas rígidas,Soulevé jambes tendues
patternHorizontalPress,Movement pattern label (filter sheet chip and About-tab chip),Horizontal Press,Horizontal Press,Горизонтальный жим,Press horizontal,Développé horizontal
patternHorizontalRow,Movement pattern label (filter sheet chip and About-tab chip),Horizontal Row,Horizontal Row,Горизонтальная тяга,Remo horizontal,Rowing horizontal
patternInclinePress,Movement pattern label (filter sheet chip and About-tab chip),Incline Press,Incline Press,Жим на наклонной,Press inclinado,Développé incliné
patternKneeExtension,Movement pattern label (filter sheet chip and About-tab chip),Knee Extension,Knee Extension,Разгибание колена,Extensión de rodilla,Extension du genou
patternKneeFlexion,Movement pattern label (filter sheet chip and About-tab chip),Knee Flexion,Knee Flexion,Сгибание колена,Flexión de rodilla,Flexion du genou
patternLateralRaise,Movement pattern label (filter sheet chip and About-tab chip),Lateral Raise,Lateral Raise,Махи в стороны,Elevación lateral,Élévation latérale
patternLungeSplit,Movement pattern label (filter sheet chip and About-tab chip),Lunge & Split Squat,Lunge & Split Squat,Выпады,Zancadas,Fentes
patternMobility,Movement pattern label (filter sheet chip and About-tab chip),Mobility,Mobility,Мобильность,Movilidad,Mobilité
patternOlympicLift,Movement pattern label (filter sheet chip and About-tab chip),Olympic Lift,Olympic Lift,Тяжёлая атлетика,Levantamiento olímpico,Mouvement olympique
patternPlyometricLower,Movement pattern label (filter sheet chip and About-tab chip),Lower-Body Plyometrics,Lower-Body Plyometrics,Плиометрика ног,Pliometría de piernas,Pliométrie bas du corps
patternPullover,Movement pattern label (filter sheet chip and About-tab chip),Pullover,Pullover,Пуловер,Pullover,Pull-over
patternRearDelt,Movement pattern label (filter sheet chip and About-tab chip),Rear Delt,Rear Delt,Задняя дельта,Deltoide posterior,Deltoïde postérieur
patternShrug,Movement pattern label (filter sheet chip and About-tab chip),Shrug,Shrug,Шраги,Encogimientos,Shrugs
patternSpinalExtension,Movement pattern label (filter sheet chip and About-tab chip),Spinal Extension,Spinal Extension,Разгибание спины,Extensión lumbar,Extension lombaire
patternSquatBilateral,Movement pattern label (filter sheet chip and About-tab chip),Squat,Squat,Приседания,Sentadilla,Squat
patternTrunkFlexion,Movement pattern label (filter sheet chip and About-tab chip),Trunk Flexion,Trunk Flexion,Скручивания,Flexión de tronco,Flexion du tronc
patternTrunkLateralRotation,Movement pattern label (filter sheet chip and About-tab chip),Trunk Rotation,Trunk Rotation,Повороты корпуса,Rotación de tronco,Rotation du tronc
patternUprightRow,Movement pattern label (filter sheet chip and About-tab chip),Upright Row,Upright Row,Тяга к подбородку,Remo al mentón,Rowing menton
patternVerticalPress,Movement pattern label (filter sheet chip and About-tab chip),Vertical Press,Vertical Press,Вертикальный жим,Press vertical,Développé vertical
patternVerticalPull,Movement pattern label (filter sheet chip and About-tab chip),Vertical Pull,Vertical Pull,Вертикальная тяга,Jalón vertical,Tirage vertical
